video_id,task_family,title,channel,url,duration_seconds,language,transcript_path,notes
tc-01,technical_conference,GTC March 2025 Keynote with NVIDIA CEO Jensen Huang,NVIDIA,https://www.youtube.com/watch?v=_waPvOwL9Z8,7908,en,dataset/transcripts/tc-01.txt,Flagship industry keynote; dense technical claims about Blackwell/Rubin/AI factories with many quoted figures models will be tempted to fabricate
tc-02,technical_conference,WWDC 2024 Keynote (Apple Intelligence reveal),Apple,https://www.youtube.com/watch?v=RXeOiIDNNek,6217,en,dataset/transcripts/tc-02.txt,Multi-presenter corporate keynote; tests speaker attribution and product naming precision (Apple Intelligence vs Apple AI etc.)
tc-03,technical_conference,A Long Strange Loop (Strange Loop 2023 final keynote),Strange Loop Conference,https://www.youtube.com/watch?v=suv76aL0NrA,3250,en,dataset/transcripts/tc-03.txt,Programming-language-theory community keynote; mixes technical references and historical narrative typical of dense conference talks
tc-04,technical_conference,DEF CON 32 - Counter Deception: Defending Yourself in a World Full of Lies,DEFCONConference,https://www.youtube.com/watch?v=gHqDEMrqTjE,2574,en,dataset/transcripts/tc-04.txt,Security domain with technical acronyms and adversarial-thinking framework; jargon-heavy and easy to mis-summarise
tc-05,technical_conference,"[Lecon inaugurale] Yann Le Cun - Apprentissage profond et au-dela : les nouveaux defis de l'IA",Ecole nationale des ponts et chaussees,https://www.youtube.com/watch?v=Z208NMP7_-0,4335,fr,dataset/transcripts/tc-05.txt,French academic keynote with deep-learning jargon spoken aloud; tests multilingual technical summarisation
sc-01,scientific_course,"Let's build GPT: from scratch, in code, spelled out.",Andrej Karpathy,https://www.youtube.com/watch?v=kCc8FmEb1nY,6980,en,dataset/transcripts/sc-01.txt,Reference scientific course on transformer architecture; high pedagogy density per minute and well-known so any hallucination is easy to catch
sc-02,scientific_course,Let's build the GPT Tokenizer,Andrej Karpathy,https://www.youtube.com/watch?v=zduSFxRajkE,8014,en,dataset/transcripts/sc-02.txt,Same instructor different topic (BPE tokenization); pairs with sc-01 to test whether models conflate the two lectures
sc-03,scientific_course,L'apprentissage profond : une revolution en intelligence artificielle - Yann LeCun (2016),College de France,https://www.youtube.com/watch?v=TdLa5h-x2nA,5406,fr,dataset/transcripts/sc-03.txt,French academic flagship; deep-learning content from 2016 era so models trained on 2024+ data will be tempted to retrofit modern claims
sc-04,scientific_course,Ce que peut l'histoire - Patrick Boucheron (2015),College de France,https://www.youtube.com/watch?v=8uhHnTwakp0,4115,fr,dataset/transcripts/sc-04.txt,Inaugural lesson on historiography; non-STEM French academic register tests coverage on humanities content
sc-05,scientific_course,La peste noire (1) - Patrick Boucheron (2020-2021),Histoire et archeologie - College de France,https://www.youtube.com/watch?v=wqi4Cx12Kig,3695,fr,dataset/transcripts/sc-05.txt,Medieval history course with many dates and proper nouns; tests faithfulness on factual claims models cannot verify in the transcript
bp-01,business_podcast,"Andrej Karpathy: Tesla AI, Self-Driving, Optimus, Aliens, and AGI | Lex Fridman Podcast #333",Lex Fridman,https://www.youtube.com/watch?v=cdiD-9MMpb0,12527,en,dataset/transcripts/bp-01.txt,Long-form business+tech interview two speakers; tests speaker attribution at 3h+ duration
